id,tenPhim,trailer,hinhAnh,moTa,ngayKhoiChieu,danhGia,hot,dangChieu,sapChieu,deletedBy,isDeleted,deletedAt,createdAt,updatedAt
15,Lật mặt 48h,https://www.youtube.com/watch?v=kBY2k3G6LsM,https://movienew.cybersoft.edu.vn/hinhanh/lat-mat-48h_gp01.jpg,,2025-12-08 16:11:45,10,1,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
16,Cua lại vợ bầu,https://www.youtube.com/watch?v=l8vTMxuvz6Y,https://movienew.cybersoft.edu.vn/hinhanh/cua-lai-vo-bau_gp01.jpg,"Trọng Thoại và Nhã Linh yêu nhau đã được bảy năm. Những lỗi lầm nho nhỏ bắt đầu tích tụ thành mâu thuẫn cực lớn đẩy cả hai xa nhau. Lại thêm sự xuất hiện của người cũ Quý Khánh càng khiến Nhã Linh xao lòng. Và rồi, cô có thai. Rốt cuộc đứa bé là của ai và Nhã Linh sẽ chọn người đàn ông nào đi tiếp cùng mình",2025-12-08 16:11:45,10,0,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
17,Lừa đểu gặp lừa đảo,https://www.youtube.com/watch?v=cy7O9tk0XZA,https://movienew.cybersoft.edu.vn/hinhanh/lua-deu-gap-lua-daoo_gp01.jpg,"Lừa Đểu Gặp Lừa Đảo xoay quanh lần gặp gỡ ""oan gia"" giữa siêu lừa đảo Tower cùng cô nàng bị lừa tình Ina, cả 2 sẽ cùng hợp tác trong phi vụ ""lừa lại tên lừa đểu"" Petch - tên bạn trai bội bạc của Ina bằng những chiêu trò lừa đảo không hồi kết.",2025-12-08 16:11:45,10,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
18,Siêu lừa gặp Siêu lầy,https://www.youtube.com/watch?v=kdn0xrDf8tY,https://movienew.cybersoft.edu.vn/hinhanh/sieu-lua-sieu-lay_gp01.jpg,"Thuộc phong cách hành động – hài hước với các “cú lừa” thông minh và lầy lội đến từ bộ đôi Tú (Anh Tú) và Khoa (Mạc Văn Khoa), Siêu Lừa Gặp Siêu Lầy của đạo diễn Võ Thanh Hòa theo chân của Khoa – tên lừa đảo tầm cỡ “quốc nội” đến đảo ngọc Phú Quốc với mong muốn đổi đời. Tại đây, Khoa gặp Tú – tay lừa đảo “hàng real” và cùng Tú thực hiện các phi vụ từ nhỏ đến lớn. Cứ ngỡ sự ranh mãnh của Tú và sự may mắn trời cho của Khoa sẽ giúp họ trở thành bộ đôi bất khả chiến bại, nào ngờ lại đối mặt với nhiều tình huống dở khóc – dở cười. Nhất là khi băng nhóm của bộ đôi nhanh chóng mở rộng vì sự góp mặt của ông Năm (Nhất Trung) và bé Mã Lai (Ngọc Phước)",2025-12-08 16:11:45,4,0,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
19,Lừa đểu gặp lừa đảo,https://www.youtube.com/watch?v=cy7O9tk0XZA,https://movienew.cybersoft.edu.vn/hinhanh/lua-deu-gap-lua-daoo_gp01.jpg,"Chiếc trailer hội tụ đủ mọi cung bậc cảm xúc, bà con đã chuẩn bị cho một cái Tết bao xôm, bao dzui, bao hoan hỉ cùng xóm Bố Già tụi tui chưa? Hài thì hài banh nóc mà bật kênh ""đíp"" là cũng thấm dữ lắm nghen.",2025-12-08 16:11:45,10,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
20,Lật mặt 7: Một điều ước,https://www.youtube.com/watch?v=d1ZHdosjNX8,https://movienew.cybersoft.edu.vn/hinhanh/latmat7_gp01.jpg,"Mẹ thương yêu con vô điều kiện, nhưng mẹ bệnh con chưa đủ điều kiện để về chăm",2025-12-08 16:11:45,10,0,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
21,Bỗng dưng trúng số,https://www.youtube.com/watch?v=1H9HPbWt3es,https://movienew.cybersoft.edu.vn/hinhanh/bong-dung-trung-so_gp01.jpg,"Người lính Hàn Quốc Chun Woo (Ko Kyoung-pyo) vô tình nhặt được tờ vé số trúng độc đắc trị giá lên đến gần 6 triệu đô! Nhưng chưa kịp vui mừng bao lâu, tờ vé số ấy không may bị cuốn bay sang bên kia biên giới và rơi vào tay anh lính Triều Tiên Yong Ho (Lee Yi-kyung). Chun Woo cần tờ vé số để đổi tiền, trong khi Yong Ho dù nắm giữ tờ vé quan trọng lại không thể đặt chân đến Hàn Quốc. Câu chuyện ngày càng trở nên rắc rối và hài hước khi có thêm những người đồng đội của hai anh chàng biết được sự việc và nhất quyết tham gia vào cuộc đàm phán chia tiền",2025-12-08 16:11:45,9,0,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
22,Deadpool & Wolverine,https://www.youtube.com/watch?v=73_1biulkYk,https://movienew.cybersoft.edu.vn/hinhanh/deadpool_gp01.jpg,"Deadpool's peaceful existence comes crashing down when the Time Variance Authority recruits him to help safeguard the multiverse. He soon unites with his would-be pal, Wolverine, to complete the mission and save his world from an existential threat",2025-12-08 16:11:45,9,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
23,THÁM TỬ LỪNG DANH CONAN: NGÔI SAO 5 CÁNH 1 TRIỆU ĐÔ,https://www.youtube.com/watch?v=9BpvF4Uh71o,https://movienew.cybersoft.edu.vn/hinhanh/conan-5-canh_gp01.jpg,"ed 2 Unrated one-ups the original with this laugh out loud sequel!  Fans of Family Guy, the Cleveland Show, and Ted will enjoy this live-action anthem to irreverence.  The Thunder Buddies take on Ted’s faltering marriage, John looking for a new love, and the entire legal system.",2025-12-08 16:11:45,8,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
24,Nobita và bản giao hưởng Địa Cầu,https://www.youtube.com/watch?v=Yug8gbDd5EQ,https://movienew.cybersoft.edu.vn/hinhanh/nobita-1_gp01.jpg,"Chuyến phiêu lưu mới cùng những người bạn mới! Hành trình tìm lại âm nhạc đã biến mất của Doraemon và các bạn sẽ như thế nào đây? Nôn nao ra rạp nhập hội quá nè, bộ phim hứa hẹn sẽ làm bạn vừa cười vùa xúc động luôn",2025-12-08 16:11:45,10,0,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
25,"Marvel Studios' Avengers: Endgame",https://www.youtube.com/watch?v=TcMBFSGVi1c,https://movienew.cybersoft.edu.vn/hinhanh/endgame_gp01.jpg,"After Thanos, an intergalactic warlord, disintegrates half of the universe, the Avengers must reunite and assemble again to reinvigorate their trounced allies and restore balance.",2025-12-08 16:11:45,7,1,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
26,The Wolverine,https://www.youtube.com/watch?v=u1VCP3O8wG0,https://movienew.cybersoft.edu.vn/hinhanh/wolverine_gp01.jpg,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",2025-12-08 16:11:45,5,0,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
27,MAI,https://www.youtube.com/watch?v=EX6clvId19s,https://movienew.cybersoft.edu.vn/hinhanh/mai_gp01.jpg,"Mai là một bộ phim điện ảnh Việt Nam thuộc thể loại hài – lãng mạn – chính kịch ra mắt vào năm 2024 do Trấn Thành làm đạo diễn và đồng sản xuất, đánh dấu đây là bộ phim điện ảnh thứ ba anh làm đạo diễn, sau Bố già và Nhà bà Nữ",2025-12-08 16:11:45,6,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
28,Móng vuốt,https://www.youtube.com/watch?v=FHN9VR1OOik,https://movienew.cybersoft.edu.vn/hinhanh/mong-vuot_gp01.jpg,Móng Vuốt dẫn dắt câu chuyện đi từ buổi tiệc dã ngoại náo nhiệt của một nhóm bạn đến một kết cục kinh hoàng khi phải đấu tranh sinh tồn với một con ác thú,2025-12-08 16:11:45,10,0,1,0,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
29,Doctor Strange,https://www.youtube.com/watch?v=aWzlQ2N6qqg,https://movienew.cybersoft.edu.vn/hinhanh/strange_gp01.jpg,"In an accident, Stephen Strange, a famous neurosurgeon, loses the ability to use his hands. He goes to visit the mysterious Ancient One to heal himself and becomes a great sorcerer under her tutelage",2025-12-08 16:11:45,10,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
30,Tôi chưa chứng minh được,https://www.youtube.com/watch?v=hzlf5nK-Lr0,https://movienew.cybersoft.edu.vn/hinhanh/toi-chua-chung-minh-duoc_gp01.jpg,"Để thiết lập mối quan hệ giữa một thành phố ở Ấn Độ và Kasukabe, Lễ hội Giải trí Thiếu nhi Kasukabe chính thức được tổ chức. Và bất ngờ chưa, ban tổ chức thông báo rằng đội chiến thắng trong cuộc thi nhảy của lễ hội sẽ được mời sang Ấn Độ biểu diễn ngay trên sân khấu bản địa! Nghe vậy, Shin và Đội đặc nhiệm Kasukabe lập tức lên kế hoạch chinh phục giải thưởng và khởi hành sang Ấn Độ để “quẩy banh nóc”! Chuyến du lịch tưởng chừng chỉ có vui chơi ca hát lại rẽ hướng 180 độ khi Shin và Bo tình cờ lạc vào một tiệm tạp hóa bí ẩn giữa lòng Ấn Độ. Tại đây, cả hai bắt gặp một chiếc balo có hình dáng giống... cái mũi và cả hai quyết định mua về. Nhưng không ngờ, chiếc balo lại ẩn chứa một bí mật kỳ lạ. Trong lúc tò mò nghịch ngợm, Bo lỡ tay nhét một mảnh giấy kỳ lạ từ balo lên... mũi mình. Và thế là thảm họa bắt đầu! Một thế lực tà ác trỗi dậy, biến Bo trở thành “Bạo Chúa Bo” – phiên bản siêu tăng động, cực kỳ hung hãn và sở hữu sức mạnh đủ để... làm rung chuyển cả thế giới. Liệu Shin và những người bạn có thể ngăn chặn Bo phiên bản Bạo Chúa trước khi cậu ấy khiến Ấn Độ (và cả thế giới) chìm trong hỗn loạn?",2025-12-08 16:11:45,8,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
31,Vitae qui blanditiis,https://www.youtube.com/watch?v=BCA9jpc4R74,https://movienew.cybersoft.edu.vn/hinhanh/vitae-qui-blanditiis_gp01.png,Labore mollit quia n,2025-12-08 16:11:45,1,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45
32,Ullamco nihil simili,https://www.youtube.com/watch?v=Fv0leN8TmR8,https://movienew.cybersoft.edu.vn/hinhanh/ullamco-nihil-simili_gp01.png,Praesentium cum quas,2025-12-08 16:11:45,3,1,0,1,0,0,,2025-12-08 16:11:45,2025-12-08 16:11:45